Over the past week, I’ve introduced or cosponsored three criminal justice reform bills: https://www.lee.senate.gov/public/index.cfm/press-releases?ID=95C42A54-3365-471F-8D43-6CFEFFD1C3E5 …	
Congratulations Vice President Pence! #Inauguration2017	#Inauguration2017
Justice Clarence Thomas is a hero of mine - an honorable man performing an honorable job. #Inauguration2017	#Inauguration2017
Obama Told Us ‘Elections Have Consequences.’ Here’s One Way to Reverse His Liberal Legacy. http://dailysign.al/2iMpd1t  via @DailySignal	
Congress must reassert its constitutional power “to regulate commerce with foreign nations.”http://www.forbes.com/sites/realspin/2017/01/19/make-trade-policy-accountable-again/#3afc0f3a48c6 …	#3afc0f3a48c6
Congress and the Presidency need to rebalance relationship on national security and foreign policy issues: https://www.scribd.com/document/336836020/Sens-Lee-Paul-Call-on-Pres-Elect-Trump-to-Increase-Congressional-Involvement-in-National-Security-Foreign-Affairs#from_embed … @RandPaul	#from_embed
I am encouraged that Interior Secretary nominee @RepRyanZinke committed to come to Utah to hear from Utahns re: #BearsEars #utpol	#BearsEars #utpol
Last night I joined 50 other senators to pass a bill that will begin the process to repeal #Obamacare.	#Obamacare
Congratulations to Bishop Oscar Azarcon Solis, new Catholic Bishop of SLC. Utahns of all faiths look forward to his friendship & leadership.	
Senator Sessions Will Be an Impartial Advocate for the Law https://youtu.be/T6OEPCMBuhQ  #utpol #confirmationhearing	#utpol #confirmationhearing
The 115th Congress Should Get to Work Restraining the Powers of the Presidency http://bit.ly/2hQiOii  #A1P	#A1P
I had the pleasure of meeting with General James Mattis this morning to discuss his nomination… https://www.instagram.com/p/BOzvcG0A-qb/ 	
RIP to Lavell Edwards. He was a great American and a good friend to my father and the entire Lee family:http://www.deseretnews.com/article/865670088/LaVell-Edwards-Hall-of-Fame-football-coach-dies-at-age-86.html …	
Will be discussing #BearsEars on @marklevinshow w/ @dbongino in a few minutes: https://www.iheart.com/live/mark-levin-show-5522/ … #utpol	#BearsEars #utpol
I will work tirelessly with Congress & incoming Trump administration to honor the will of Utahns and undo this monument designation. #utpol	#utpol
Merry Christmas from my family to yours! I hope your day was filled with light and joy and time well-spent with friends and family.	
If President Obama cares about his legacy w/ Native Americans he should listen to SJC Commissioner @RM_Benally: https://www.facebook.com/senatormikelee/?hc_ref=NEWSFEED&fref=nf …	
Utah's elected officials are a strong, unified front in opposition to proposed Bears Ears National Monument: https://www.facebook.com/senatormikelee/videos/vb.178081365556898/1339665406065149/?type=2&theater&notif_t=live_video_explicit&notif_id=1482165224129160 … #uptol	#uptol
For those covering potential Bears Ears monument designation, this is a good read: https://www.facebook.com/senatormikelee/posts/1332595606772129 … #utpol #nomidnightmonument	#utpol #nomidnightmonument
Good evening Utahns. I want to talk to you about some disturbing rumors I’ve been hearing in Washington DC... https://www.facebook.com/senatormikelee/videos/1331617890203234/ … #utpol	#utpol
Here's the path forward for repealing #Obamacare: http://www.nationalreview.com/article/442894/obamacare-repeal-fix-whole-thing … @RepMarkWalker	#Obamacare
Congrats to @AGScottPruitt! Strong pick by @realDonaldTrump to lead #EPA:http://www.weeklystandard.com/scott-pruitt-trumps-epa-pick-on-federalism-and-executive-overreach/article/2005732 …	#EPA
At the very least we should fix the tax code so it doesn't penalize working families. https://twitter.com/WilcoxNMP/status/804729615877046272 …	
What role do you think conservatism will/should play in the Trump administration? http://www.nationalreview.com/article/442450/donald-trump-conservatives-principled-populism-framework-working-together … @NRO	
A safety net that discourages work and marriage, and undermines the family isn't a safety net. It's a poverty trap:http://dailysignal.com/2016/11/18/conservative-lawmakers-say-current-welfare-system-is-anti-family …	
Congrats to @RepMarkWalker! He's a great choice to fight for conservative agenda in House as leader of the RSC. Also, a great ally of #A1P.	#A1P
I congratulate President-Elect Trump & look forward to helping him repeal Obamacare, reduce regulation, and confirm conservative judges.	
I am honored, grateful, and humbled to serve the people of Utah, who have entrusted me with this office and its many responsibilities.	
The #Cubs. They won!!! I have to hand it to Cubs fans -- they never gave up on their team, even after 108 years.	#Cubs
