Staff Sgt. Black, Staff Sgt. Johnson, and Staff Sgt. Wright's sacrifices will not be forgotten.	
Congratulations to @UNC_Basketball on advancing to the #elite8!https://twitter.com/sportscenter/status/845445056190468098 …	#elite8
On the one-year anniversary of the Brussels terror attacks, my thoughts and prayers go out to the people of London. #PrayForLondon	#PrayForLondon
Gorsuch sailing through Supreme Court confirmation hearing, helped by Sen. Tillis http://www.mcclatchydc.com/news/politics-government/congress/article139994048.html#storylink=cpy … via @MichaelDoyle10 #SCOTUS	#storylink #SCOTUS
Happy #NationalAgDay! Thank you to farmers in North Carolina and across our country for your hard work on behalf of NC and the world.pic.twitter.com/jP5oP3tygH	#NationalAgDay
I was honored to receive the Order of the Long Leaf Pine from former Governor Pat McCrory. #ncpolpic.twitter.com/eZ0BD2kwYy	#ncpolpic
My opening statement @SenateJudiciary hearing on the nomination of Judge Neil Gorsuch to the Supreme Court. #SCOTUSpic.twitter.com/BJEhXGAS2b	#SCOTUSpic
Happy 18th Birthday to North Carolinian, Cherilyn! She visited my DC office today & discussed her passion for protecting the Corolla Horses.pic.twitter.com/ihoIug5efM	
Congrats @UNC_Basketball on advancing to the #Sweet16! #MarchMadnesshttps://twitter.com/marchmadness/status/843617388738330626 …	#Sweet16 #MarchMadnesshttps
Please keep Officer Freeman's family in your thoughts and prayers.https://twitter.com/wway/status/842171055359823873 …	
I joined a bipartisan group of senators working to protect whistleblowers who shine light on waste, fraud & abuse. http://buff.ly/2mTYQbV pic.twitter.com/Ed732Ha6dA	
Proud to intro bipartisan legislation that grants additional visas to Afghans aiding the U.S. mission in Afghanistan http://bit.ly/2noguGi pic.twitter.com/ARkOQjn0oF	
I was happy to welcome students and teachers from @SLBAcrusaders to my D.C. office.pic.twitter.com/7cjUWTMW5a	
Perpetrators of the “Marines United” scandal must be punished. I'm confident @USMC will take swift action to seek justice for the victims.pic.twitter.com/EjiMPOddTe	
Congratulations to all the North Carolina teams who are going to the NCAA Tournament! #selectionsundaypic.twitter.com/gdgdlirjVF	#selectionsundaypic
Happy to see NC continuing to lead the way on juvenile justice reforms w/ @ChuckMcGrady's Juvenile Justice Reinvestment Act. #RaiseTheAgeNC	#RaiseTheAgeNC
Tonight, I'm hosting a live telephone town hall to have a conversation with North Carolinians. Listen here: http://bit.ly/2lUF78o pic.twitter.com/itudDx9ETj	
My offices are accepting applications for summer #internships until March 31. Apply online: https://www.tillis.senate.gov/public/index.cfm/internships …pic.twitter.com/294PItwodU	#internships
This morning, I had the privilege of welcoming Chaplain Sharad Creasman, from Brevard, NC to open the #Senate in prayer.pic.twitter.com/u14nq7ns5x	#Senate
Congratulations @RealBenCarson on being confirmed as the @HUDgov Secretary.	
I'm focused on making #healthcare more available to #veterans. We want to empower the @DeptVetAffairs, not privatize it.pic.twitter.com/kiWsSirOUH	#healthcare #veterans
This week, I had the honor of meeting with North Carolina #veterans from the @AmericanLegion.pic.twitter.com/nRFg4KZYMK	#veterans
My statement following @POTUS' address to a joint session of Congress. #JointAddresspic.twitter.com/MTwsZhEkPb	#JointAddresspic
A powerful moment in @POTUS' #JointAddress. God bless the Owens family.https://twitter.com/cspan/status/836773414098579456 …	#JointAddress
Congratulations to @NCAgLawyer on his new position as Special Assistant to @POTUS for Ag, Trade, & Food Assistance! http://bit.ly/2l8AfkA pic.twitter.com/vLgKeDopzW	
The multiple bomb threats against Jewish Community Centers in Charlotte, Asheville and across the nation are profoundly disturbing.pic.twitter.com/SeZBYMufkd	
I visited Texas with a congressional delegation to gain firsthand knowledge of challenges facing our country & those protecting our border.pic.twitter.com/H7OwyjSM1G	
Proud to join @SenBobCorker in his efforts to eliminate slavery worldwide. #EndSlaveryAct #EndItMovementpic.twitter.com/x2ucs1Z2hi	#EndSlaveryAct #EndItMovementpic
Great to see North Carolinian Nancy White on this list! Thanks for caring for wounded warriors & their caregivers. #HiddenHeroeshttps://twitter.com/DoleFoundation/status/831883998796328960 …	#HiddenHeroeshttps
