Read my piece published in the @washingtonpost abt Facebook political ads & how to prevent Russians from buying themhttps://www.washingtonpost.com/opinions/how-to-stop-russian-robots-from-attacking-the-next-election/2017/10/02/f8197782-a78b-11e7-92d1-58c702d2d975_story.html …	
OK I missed this one yesterday as I was working. No, I would NOT go meet w/foreign country to get info on opponent. It is wrong&against lawhttps://twitter.com/realdonaldtrump/status/886950594220568576 …	
Time to work together! Two more Senate Republicans oppose health-care bill, leaving it without votes to passhttps://www.washingtonpost.com/powerpost/amid-uncertainty-about-mccains-health-senate-returns-with-gop-agenda-in-flux/2017/07/17/6dd31530-6b02-11e7-9c15-177740635e83_story.html …	
Glad to hear my friend @SenJohnMcCain's surgery went well. He is a very strong person & won't be gone for long!https://twitter.com/senjohnmccain/status/886378280449966080 …	
!! We need a bipartisan bill that helps people! New Senate Republicans healthcare bill already in trouble | Articlehttps://www.google.com/amp/mobile.reuters.com/article/amp/idUSKBN19Y10B …	
This is serious. Must let investigation continue without any political interference. Have to get to bottom of this.http://www.mcclatchydc.com/news/nation-world/national/article160803619.html …	
MN is in the Top 3 best states for business!http://www.cnbc.com/2017/07/11/minnesota-finishes-no-3-in-americas-top-states-for-business.html …	
Introduced legislation w @SenatorCardin, @Senator Durbin, @SenJackReed to prevent the creation of a cybersecurity unit w Russia.	
Can't add much to this. The words speak for themselves: Russian Dirt on Clinton? ‘I Love It,’ Donald Trump Jr. Saidhttps://www.nytimes.com/2017/07/11/us/politics/trump-russia-email-clinton.html?smprod=nytcore-iphone&smid=nytcore-iphone-share …	
I head up adoption caucus in senate & this is key point: When the Kremlin Says ‘Adoptions,’ It Means ‘Sanctions’,https://www.nytimes.com/2017/07/10/world/americas/kremlin-adoptions-sanctions-russia.html?smprod=nytcore-ipad&smid=nytcore-ipad-share …	
Breaking (and bad) (and the same basic bill): Senate Republicans set health care vote for next weekhttp://www.startribune.com/politics/433717093.html …	
New report tonight: Trump Jr. Was Told in Email of Russian Effort to Aid Campaign, via @nytimeshttps://www.nytimes.com/2017/07/10/us/politics/donald-trump-jr-russia-email-candidacy.html?smprod=nytcore-ipad&smid=nytcore-ipad-share …	
Went on @Morning_Joe to discuss deeply concerning news about Admin & Trump campaign's interactions w Russia.http://www.msnbc.com/morning-joe/watch/potentially-incriminating-activity-in-trump-jr-meeting-990915651658 …	
MN was just ranked as a top state for summer in the country! Hope you're enjoying it this weekend!http://www.duluthnewstribune.com/features/weekend/4294510-minnesota-among-states-best-summers …	
Russia hacked us. Now POTUS wants to join w/our hacker? Fox guarding henhouse? BEAR guarding honey? Need to guard our OWN security.https://twitter.com/realdonaldtrump/status/884016887692234753 …	
Deal should be judged by impact to competition/consumers. Political interference is unacceptable.https://www.reuters.com/article/us-usa-doj-klobuchar-idUSKBN19S2ZC …	
Called on 3 insulin companies to explain simultaneously skyrocketing prices. Have to bring down Rx costs.http://kstp.com/medical/minnesota-senator-amy-klobuchar-targets-rising-insulin-prices/4532636/#.WVsN84u1HLA.facebook …	#
. @SenJackReed & I & 24 Senators called on the "Election Integrity" Commission to rescind its request for private voter information.	
Just because it isn't favorable doesn't make it fake. Officials won't comply w commission request for good reason.http://thehill.com/business-a-lobbying/340740-kobach-rips-reports-about-voter-commission-problems-fake-news …	
Happy Fourth of July from our family to yours!pic.twitter.com/Jd8DWy8ycW	
Let's remember what unites us on 4th of July! Happy 4th!! US senator: Our declaration should be to respect one ...http://www.duluthnewstribune.com/opinion/4291971-us-senators-view-our-declaration-should-be-respect-one-another#.WVulALvBLKk.twitter …	#
When they ask for private voter info, time to tell the "Election Integrity" Commission to GO JUMP IN A LAKE! Pls RT.pic.twitter.com/uDkaUOxuCq	
Requesting this sensitive info is outrageous. Need to protect Americans' security and privacy and the right to vote.https://mobile.nytimes.com/2017/06/30/us/politics/kris-kobach-states-voter-fraud-data.html …	
Wrote this for @NYTMag's annotated Constitution (in print only). All of us need to respect freedom of the press.pic.twitter.com/VE9NRP53Qo	
Joined thousands celebrating the 57th anniversary of Somalia's independence with MN's proud Somali community.pic.twitter.com/JFIoxzsMv9	
Wishing our northern neighbor a happy #CanadaDay! Congratulations on 150 years. #Canada150 @CanEmbUSA	#CanadaDay #Canada150
Today I joined @SenatorBaldwin to meet with WI and MN citizens who want to see lower Rx drug prices. Pass our bill!pic.twitter.com/hpFseSEd6Z	
Note: While Trump tweets may change up 1 day of news, they'll never change people's minds on bad health care bill. People are on to this.	
Led group of Senators in calling on Admin's "Voter Fraud" Commission to release info so we can ensure it is transparent & complies w law.	
Introduced bill to help states get info/resources to strengthen election cybersecurity. Must do all we can to protect future elections.	
1/6 of the U.S. economy (health care) is up in the air & the president is focused on this? Each tweet squanders American leadership.https://twitter.com/realdonaldtrump/status/880410114456465411 …	
Spoke on Senate floor yesterday to call for bipartisanship on healthcare. Now's the time to come together to protect/improve care for all.	
Breaking: Votes not there for GOP bill; Delayed 'til after July 4. Need to work TOGETHER to improve health care.https://twitter.com/ap/status/879758301734604800 …	
!!! Susan Collins Confirms She Will Vote To Block GOP Health Care Bill – Talking Points Memohttp://talkingpointsmemo.com/dc/susan-collins-no-on-motion-to-proceed …	
Just took to Senate floor to speak out against this. Outrageous.https://twitter.com/AP/status/879434118601334784 …	
Good news: I've been pushing for months & Admin will resume program letting doctors stay in US if they work in underserved areas, like rural	
Been 4 yrs since Supreme Court undermined the Voting Rights Act. Sign & stand w me for restoring this vital law. http://action.amyklobuchar.com/p/salsa/web/common/public/signup?signup_page_KEY=11308 …	
At Pride Parade today!!! #tcpridepic.twitter.com/35EaMQxdZ9	#tcpridepic
This is why AARP opposes the bill.....Medicaid cuts in GOP health bill could take toll on Minn. seniorshttp://www.startribune.com/business/430481713.html …	
Share this post if you agree: We should work together to improve our healthcare system, not move forward w/ a bill that makes things worse.pic.twitter.com/eb2cGhSHCr	
!!!! 5 GOP senators now opposing health care bill, enough to sink it http://www.startribune.com/politics/national/430295903.html …	
Been 4 yrs this month since Supreme Court undermined Voting Rights Act. Congress must reauthorize this essential law. #RestoreTheVOTE	#RestoreTheVOTE
On floor on repub health care bill...No hearings, no input...they didn't just close the door to dem senators...they did it to all Americans	
Had fun announcing the Congressional Women's Softball Game w @mitchellreports & @DanaBashCNN. #BeatCancer #CWSGpic.twitter.com/X7307KEeYl	#BeatCancer #CWSGpic
Called on Rules Committee Chair Shelby to hold hearings on hacking attempts on state voting infrastructure. Must get to bottom of this.	
My bill w @SenatorLeahy & @SenatorDurbin would modernize voter registration across the country.http://www.brainerddispatch.com/news/4285831-klobuchar-introduces-automatic-voter-registration-bill …	
Just finished speaking on Senate floor about healthcare. No hearings. No debates. No bipartisan amendments. No way. #ShowUsTheBill	#ShowUsTheBill
On the floor with my colleagues asking why the health care bill is being drafted in secret...Americans deserve to know	
Spoke w @ReliableSources on ensuring press at Capitol can keep doing their jobs. More important than ever.http://www.cnn.com/videos/tv/2017/06/18/reliable-source-senator-klobuchar-restrictions-press-access.cnn …	
Happy Father's Day to my husband John. Proud dad at Abigail's graduation a few weeks ago!pic.twitter.com/Nw6DtrwgZ4	
Happy Father's Day! Here's my dad when he was in the service in the 1950s. Thanks dad for always reminding me that service matters.pic.twitter.com/wDXUo7ICIW	
. @BettyMcCollum04 and I at the #CongressionalBaseballGamepic.twitter.com/IokHrMnThi	#CongressionalBaseballGamepic
Standing O for Steve Scalise at the gamepic.twitter.com/zDrXXoWfBF	
Such generosity: Hundreds in Willmar helped pack 147,750 meals for those suffering from Somalia's drought/famine.http://www.wctrib.com/news/local/4281912-two-day-event-willmar-yields-147750-meals-feed-my-starving-children …	
Great news! Minneapolis one of 3 finalists to host World's Fair in 2023http://www.startribune.com/variety/428457433.html …	
As ranking member on Rules Committee got briefed by Capitol police on shooting. The police officers did their jobs and saved many lives.	
Prayers for Rep. Scalise, aides, law enforcement, and all those who were hurt. No words to describe how terrible this is.	
New sanctions agreed to by Ds & Rs are important step in holding Russia accountable for interfering w our election.https://www.nytimes.com/2017/06/13/us/politics/senate-sanctions-russia.html …	
...This is why I'm so concerned about future elections:Russians hacked election software, databases in 39 stateshttp://www.startribune.com/nation/428231663.html …	
This is no time for limiting press access in U.S. Senate. Russia hearings, Sessions testifying & (secret?) health care bill being drafted!	
Just spoke with Senator Shelby. He said he wouldn't move forward on change to press access without consulting me and we must hold him to it	
As ranking member of the Senate Rules Committee I call on the majority to allow reporting in the Capitol to proceed as usual.	
And all Mueller's done is hire people.....Trump allies, friends turn on special counsel Robert Muellerhttp://www.startribune.com/politics/national/428119623.html …	
Russia interfered with our election - and there must be consequences. We shouldn't give back the compounds.http://www.startribune.com/stop-the-move-to-return-diplomatic-compounds-to-the-russians/427546843/ …	
Led group of senators calling on Admin to continue relations w Cuba. It's good for US businesses/farmers & most Americans support it.	
Thanks @tribelaw...this week we learned that Russians tried to hack into U.S. election software contractors. We must protect our democracyhttps://twitter.com/tribelaw/status/873301359948427264 …	
Cancer is firefighters' lead cause of line-of-duty deaths. My bipartisan bill would expand research/minimize risks.http://www.duluthnewstribune.com/news/4280535-hidden-danger-firefighters-cancer …	
Big day w Comey testifying. What we already know is deeply concerning. Watch my interview w @BWilliams:http://www.msnbc.com/brian-williams/watch/senate-dem-on-influencing-investigations-you-just-don-t-do-that-962625603606 …	
Led call w @LindseyGrahamSC, @SenGillibrand & @ChrisVanHollen to keep MD & NY diplomatic compounds from Russia. Must stand up to aggression.	
Comey's testimony for tomorrow has been released. Very serious stuff. Must read:https://www.vox.com/2017/6/7/15758258/comey-testimony-senate-intelligence …	
Called for Rules Committee classified briefing on any attempts to breach U.S. voting systems.http://www.startribune.com/klobuchar-wants-senate-briefing-on-russian-vote-hacking-attempts/426842381/ …	
Must protect our democracy from foreign hackers & invest in strengthening our election infrastructure. Cannot wait.https://www.mprnews.org/story/2017/06/05/npr-report-russia-launched-cyberattack-on-voting-vendor-ahead-of-election …	
China "capitalizing on leadership vacuum"(aka Trump era): China Looks to Capitalize on Clean Energy as U.S. Retreatshttps://www.nytimes.com/2017/06/05/business/energy-environment/china-clean-energy-coal-pollution.html?smprod=nytcore-iphone&smid=nytcore-iphone-share …	
We stand with the people of London. My heart goes out to the victims and their families.https://mobile.nytimes.com/2017/06/03/world/europe/london-bridge-van.html …	
Led group of senators calling on @FEC to investigate potential influential role of foreign money in our elections. Our democracy is at risk.	
Happy to say my bill w @JohnCornyn to help veterans get good jobs w local police departments was signed into law this week.	
Was great to get back to Wayzata High School - where I graduated from - to speak w the Class of 2017. Such an impressive group of students!	
Great Lakes Restoration Initiative helps keep MN waterways clean. Will work w colleagues to make sure it's funded.http://www.duluthnewstribune.com/opinion/4276438-our-view-dont-give-great-lakes-now …	
US will be 1 of 3 countries not in #ParisAgreement. Not good for our economy, security, environment. Big step backwards.	#ParisAgreement
Opening trade relations w Cuba strengthens US businesses, increases exports & helps Cuban people. Shouldn't go back.https://nyti.ms/2soSSjt 	
Russia interfered with our election. There are consequences for that. And we need to stick with them.http://wapo.st/2qCuOJd?tid=ss_tw-amp …	
We'd join Syria&Nicaragua! Really!? If US left climate agreement, we'd be 1of 3 countries in world not participatinghttps://www.washingtonpost.com/graphics/world/paris-climate-agreement-withdrawal/?tid=a_classic-iphone&utm_term=.77a01b182d9f …	
175 nations agreed to combat climate change through historic agreement. Backing out is opposite of US leadership.http://www.politico.com/story/2017/05/31/trump-paris-climate-change-agreement-238974 …	
Administration's deep cuts would undermine work to protect our Great Lakes, including St. Louis River cleanup.http://www.startribune.com/local/425185083.html …	
Here's my Memorial Day op-ed on how we honor our fallen heroes by fighting for those still with us. http://www.southernminn.com/owatonna_peoples_press/opinion/guest_columns/article_39cd04d9-c012-5703-8458-2cb5bcb8ea4a.html …	
"Heroes" is exactly the right word.http://wapo.st/2qw43p8?tid=ss_tw-amp …	
